time_ms,depth_flash_m,depth_profile_m,depth_diff_m,gas_idx
8033,1.679,1.722,-0.043,0
13133,3.424,3.512,-0.088,0
18233,5.103,5.234,-0.131,0
23333,6.849,7.024,-0.175,0
28433,8.528,8.746,-0.218,0
33533,10.273,10.536,-0.263,0
38633,11.952,12.267,-0.315,0
43733,13.698,14.048,-0.350,0
48833,15.376,15.770,-0.394,0
53933,17.122,17.560,-0.438,0
59033,18.801,19.282,-0.481,0
64137,20.169,20.685,-0.516,0
69237,20.272,20.791,-0.519,0
74337,20.370,20.892,-0.522,0
79437,20.449,20.972,-0.523,0
84537,20.508,21.033,-0.525,0
89637,20.540,21.066,-0.526,0
94737,20.545,21.071,-0.526,0
99837,20.521,21.047,-0.526,0
104937,20.470,20.994,-0.524,0
110037,20.397,20.919,-0.522,0
115137,20.304,20.824,-0.520,0
120237,20.203,20.720,-0.517,0
125337,20.093,20.608,-0.515,0
130437,19.992,20.503,-0.511,0
135537,19.897,20.407,-0.510,0
140637,19.823,20.330,-0.507,0
145737,19.769,20.276,-0.507,0
155937,19.746,20.252,-0.506,0
161037,19.776,20.282,-0.506,0
166137,19.833,20.341,-0.508,0
171237,19.910,20.420,-0.510,0
176337,20.007,20.520,-0.512,0
181437,20.110,20.625,-0.515,0
186537,19.833,20.341,-0.508,0
191637,19.402,19.898,-0.496,0
196737,18.953,19.438,-0.485,0
201837,18.521,18.995,-0.474,0
206937,18.072,18.535,-0.463,0
212037,17.641,18.093,-0.452,0
217137,17.192,17.632,-0.440,0
222237,16.761,17.190,-0.429,0
227337,16.312,16.729,-0.417,0
232437,15.880,16.287,-0.407,0
237537,15.431,15.827,-0.396,0
242637,15.000,15.384,-0.384,0
247737,14.551,14.924,-0.373,0
252837,14.120,14.481,-0.361,0
257937,13.671,14.021,-0.350,0
263037,13.239,13.579,-0.339,0
268137,12.791,13.118,-0.327,0
273237,12.359,12.675,-0.316,0
278337,11.910,12.215,-0.305,0
283437,11.479,11.773,-0.294,0
288537,11.030,11.313,-0.283,0
293637,10.598,10.870,-0.272,0
298737,10.150,10.409,-0.259,0
303837,9.718,9.967,-0.249,0
308960,9.269,9.507,-0.238,0
314060,8.820,9.046,-0.226,0
319160,8.389,8.604,-0.215,0
324260,7.940,8.143,-0.203,0
329360,7.509,7.701,-0.192,0
334460,7.060,7.241,-0.181,0
339560,6.628,6.798,-0.170,0
344660,6.179,6.347,-0.168,0
349760,5.748,5.895,-0.147,0
354860,5.299,5.444,-0.144,0
359960,4.868,4.993,-0.125,0
365060,4.419,4.532,-0.113,0
370160,3.987,4.090,-0.103,0
375260,3.539,3.629,-0.090,0
380360,3.107,3.187,-0.080,0
385460,2.658,2.726,-0.068,0
390560,2.227,2.284,-0.057,0
395660,1.778,1.823,-0.045,0
400760,1.346,1.381,-0.035,0
405860,0.898,0.921,-0.023,0
