time_ms,depth_m,gas_idx,pa
8071,1.679,0,113093.3
13171,3.424,0,130652.0
18271,5.103,0,147535.3
23371,6.849,0,165094.0
28471,8.528,0,181977.3
33571,10.273,0,199536.0
38671,11.952,0,216419.3
43771,13.698,0,233978.0
48871,15.376,0,250861.3
53971,17.122,0,268420.0
59071,18.801,0,285303.3
64200,20.547,0,302862.0
69300,22.292,0,320420.7
74400,23.971,0,337304.0
79500,25.717,0,354862.7
84600,27.396,0,371746.0
89700,29.141,0,389304.7
94800,30.820,0,406188.0
99900,32.566,0,423746.7
105000,34.244,0,440630.0
110100,35.990,0,458188.7
115200,37.669,0,475072.0
120300,39.415,0,492630.7
125425,41.093,0,509514.0
130525,42.839,0,527072.6
135625,44.518,0,543956.0
140725,46.264,0,561514.6
145825,47.942,0,578398.0
150925,49.688,0,595956.7
156029,50.381,0,602922.2
161129,50.417,0,603289.6
166229,50.452,0,603642.2
171329,50.488,0,604007.7
176429,50.523,0,604357.5
181529,50.559,0,604719.2
186629,50.594,0,605064.5
191729,50.629,0,605420.6
196829,50.663,0,605759.5
201929,50.697,0,606108.1
207029,50.730,0,606439.1
212129,50.764,0,606778.5
217229,50.796,0,607099.8
222329,50.829,0,607428.2
227429,50.859,0,607738.2
232529,50.891,0,608054.1
237629,50.920,0,608351.1
242729,50.950,0,608652.8
247829,50.978,0,608935.5
252929,51.007,0,609221.4
258029,51.033,0,609488.2
263129,51.060,0,609757.1
268229,51.085,0,610006.8
273329,51.110,0,610257.0
278429,51.133,0,610488.2
283529,51.156,0,610718.6
288629,51.177,0,610930.2
293729,51.198,0,611139.6
298829,51.217,0,611330.6
303929,51.235,0,611518.0
309029,51.252,0,611687.2
314129,51.268,0,611851.6
319229,51.283,0,611998.4
324329,51.297,0,612139.0
329429,51.309,0,612262.5
334529,51.321,0,612378.6
339629,51.331,0,612478.1
344729,51.340,0,612569.1
349829,51.347,0,612644.3
354929,51.354,0,612709.7
360029,51.359,0,612760.1
365129,51.363,0,612799.6
370229,51.365,0,612825.0
375329,51.366,0,612838.4
380429,51.366,0,612838.6
385529,51.365,0,612825.8
390629,51.363,0,612800.8
395729,51.359,0,612761.9
400829,51.354,0,612711.9
405929,51.347,0,612647.1
411029,51.340,0,612572.3
416129,51.331,0,612481.9
421229,51.321,0,612382.8
426329,51.310,0,612267.1
431429,51.297,0,612144.2
436529,51.283,0,612004.0
441629,51.269,0,611857.8
446729,51.253,0,611693.8
451829,51.236,0,611525.0
456929,51.217,0,611338.0
462029,51.198,0,611147.5
467129,51.178,0,610938.5
477329,51.134,0,610497.2
482429,51.111,0,610266.4
487531,51.086,0,610016.5
492631,51.061,0,609767.2
497731,51.034,0,609498.8
502831,51.008,0,609232.2
507931,50.980,0,608946.6
513031,50.951,0,608664.2
518131,50.921,0,608362.9
523231,50.892,0,608066.1
528331,50.861,0,607750.5
533431,50.830,0,607440.8
538531,50.797,0,607112.5
543631,50.765,0,606791.4
548731,50.732,0,606452.2
558931,50.664,0,605773.0
