time_ms,depth_m
4603,0.551
4807,0.620
5419,0.826
5827,0.964
6439,1.171
7051,1.377
7459,1.515
8071,1.722
8683,1.928
9091,2.066
10315,2.548
11335,2.892
11947,3.099
12355,3.237
12967,3.443
13579,3.650
13987,3.788
14599,3.994
15211,4.201
15619,4.338
16231,4.545
16843,4.752
17251,4.889
17863,5.096
18475,5.303
18883,5.440
19495,5.716
20107,5.922
20515,6.060
21739,6.473
22147,6.611
22759,6.818
23371,7.024
23779,7.162
25003,7.575
26635,8.126
27043,8.264
28267,8.677
29287,9.021
29899,9.297
30919,9.641
31531,9.848
32551,10.192
33163,10.399
33775,10.605
34387,10.812
34795,10.950
35611,11.225
36835,11.638
37855,11.982
39079,12.396
40303,12.878
40915,13.084
41323,13.222
42139,13.498
43363,13.911
43771,14.048
44587,14.324
45607,14.668
46831,15.081
47443,15.288
48055,15.495
48667,15.701
49075,15.839
49891,16.114
50299,16.321
51115,16.596
51523,16.734
53359,17.354
53971,17.561
54583,17.767
55195,17.974
56419,18.387
56827,18.525
57643,18.800
58051,18.938
58663,19.144
59275,19.351
60499,19.833
61111,20.040
61723,20.246
62131,20.384
63359,20.797
64812,21.279
65424,21.486
66648,21.899
67056,22.037
67872,22.312
68280,22.450
68892,22.657
70116,23.139
70728,23.345
71952,23.758
72360,23.896
73176,24.172
73584,24.309
74400,24.585
75420,24.929
76032,25.136
77256,25.549
78480,25.962
78888,26.100
79704,26.444
80112,26.582
80928,26.857
81336,26.995
82152,27.270
82560,27.408
83172,27.615
84396,28.028
85620,28.441
86232,28.648
87456,29.061
87864,29.199
88680,29.474
89088,29.612
89700,29.887
90312,30.094
92148,30.714
92760,30.920
93168,31.058
93984,31.333
94392,31.471
95208,31.747
96432,32.160
96840,32.298
98064,32.711
98676,32.917
99288,33.124
99696,33.331
100512,33.606
100920,33.744
101736,34.019
102960,34.432
103368,34.570
103980,34.777
104592,34.983
105816,35.397
106428,35.603
107040,35.810
107448,35.947
108264,36.223
108672,36.361
109488,36.636
109896,36.843
110712,37.118
111120,37.256
112344,37.669
112956,37.876
113568,38.082
113976,38.220
114792,38.495
116016,38.909
116424,39.046
117240,39.322
117648,39.460
118260,39.666
118872,39.873
120096,40.355
120708,40.561
121320,40.768
121728,40.906
122544,41.181
122952,41.319
123793,41.594
125017,42.008
126241,42.421
127261,42.765
127873,42.972
128485,43.178
129097,43.454
129709,43.660
130321,43.867
130933,44.073
131545,44.280
132769,44.693
133993,45.106
134401,45.244
135013,45.451
138073,46.484
138481,46.621
139297,46.966
140521,47.379
140929,47.517
141541,47.723
142153,47.930
142765,48.137
143377,48.343
143989,48.550
144601,48.756
145009,48.894
145825,49.169
146233,49.307
147049,49.583
147457,49.720
148069,49.927
148681,50.134
149293,50.409
150517,50.822
151129,51.029
151741,51.235
152353,51.442
152761,51.580
153581,51.653
153989,51.656
154397,51.659
154805,51.662
155213,51.664
155417,51.666
155825,51.669
156233,51.672
156641,51.675
157049,51.677
157457,51.680
157865,51.683
158273,51.686
158681,51.689
159089,51.692
159497,51.696
159905,51.699
160313,51.702
160721,51.705
161129,51.708
161537,51.711
161945,51.713
162353,51.716
162761,51.719
163169,51.722
163577,51.725
163985,51.728
164393,51.731
164801,51.734
165209,51.736
165617,51.739
166025,51.742
166433,51.745
166841,51.748
167249,51.751
167657,51.754
168065,51.757
168473,51.759
168881,51.762
169289,51.765
169697,51.769
170105,51.772
170513,51.775
170921,51.778
171329,51.781
171737,51.784
172145,51.787
172553,51.790
172961,51.792
173369,51.795
173777,51.798
174185,51.801
174593,51.804
175001,51.807
175409,51.810
175817,51.812
176225,51.815
176633,51.818
177041,51.821
177449,51.824
177857,51.827
178265,51.829
178673,51.832
179081,51.835
179897,51.842
180101,51.844
180509,51.846
180917,51.849
181325,51.852
181937,51.856
182345,51.859
182753,51.862
183161,51.865
183569,51.868
183977,51.870
184385,51.873
184793,51.876
185201,51.879
185609,51.882
186017,51.885
186425,51.887
186833,51.890
187241,51.893
187649,51.896
188057,51.899
188465,51.901
188873,51.904
189281,51.907
189689,51.910
190097,51.914
190505,51.917
190913,51.919
191321,51.922
191729,51.925
192137,51.928
192545,51.931
192953,51.933
193361,51.936
193769,51.939
194177,51.942
194585,51.944
194993,51.947
195809,51.953
196217,51.955
196625,51.958
197033,51.961
197441,51.964
197849,51.966
198257,51.969
198665,51.972
199073,51.975
199481,51.977
199889,51.980
200297,51.984
200705,51.987
201113,51.990
201521,51.992
201929,51.995
202337,51.998
202745,52.001
203153,52.003
203561,52.006
203969,52.009
204377,52.011
205193,52.017
205397,52.018
205805,52.021
206213,52.024
206621,52.026
207029,52.029
207437,52.032
207845,52.034
208253,52.037
208661,52.040
209069,52.042
209477,52.045
209885,52.048
210293,52.052
210905,52.056
211313,52.058
211721,52.061
212129,52.063
212537,52.066
212945,52.069
213353,52.071
213761,52.074
214169,52.077
214577,52.079
214985,52.082
215393,52.085
215597,52.086
216005,52.088
216413,52.091
216821,52.094
217229,52.096
217637,52.099
218045,52.101
218453,52.104
218861,52.107
219269,52.109
219677,52.112
220085,52.114
220493,52.118
220901,52.121
221309,52.123
221717,52.126
222125,52.128
222533,52.131
222941,52.134
223349,52.136
223757,52.139
224165,52.141
224573,52.144
224981,52.146
225389,52.149
225797,52.151
226205,52.154
226613,52.156
227021,52.159
227429,52.161
227837,52.164
228245,52.166
228653,52.169
229061,52.171
229469,52.174
229877,52.176
230285,52.179
230693,52.182
231101,52.185
231509,52.187
231917,52.190
232325,52.192
232733,52.195
233141,52.197
233549,52.200
233957,52.202
234365,52.205
234773,52.207
235181,52.209
235589,52.212
235997,52.214
236405,52.217
236813,52.219
237221,52.221
237629,52.224
238037,52.226
238445,52.229
238853,52.231
239261,52.233
239669,52.236
240077,52.238
240281,52.239
240689,52.242
241097,52.245
241505,52.248
242525,52.253
242933,52.256
243341,52.258
243749,52.260
244157,52.263
244565,52.265
244973,52.267
245381,52.270
245789,52.272
246197,52.274
246605,52.277
247013,52.279
247421,52.281
247829,52.283
248237,52.286
248645,52.288
249053,52.290
249461,52.293
249869,52.295
250277,52.297
250685,52.299
251093,52.303
251501,52.305
251909,52.307
252317,52.309
252725,52.312
253133,52.314
253541,52.316
253949,52.318
254357,52.320
254765,52.322
255173,52.325
255581,52.327
255989,52.329
256193,52.330
256601,52.332
257009,52.334
257417,52.337
257825,52.339
258233,52.341
258641,52.343
259049,52.345
259457,52.347
259865,52.349
260477,52.353
260885,52.355
261293,52.358
261701,52.360
262109,52.362
262517,52.364
262925,52.366
263333,52.368
263741,52.370
264149,52.372
264557,52.374
264965,52.376
265373,52.379
265781,52.381
265985,52.382
266393,52.384
266801,52.386
267209,52.388
267617,52.390
268025,52.392
268433,52.394
268841,52.396
269249,52.398
269657,52.400
270065,52.402
270473,52.404
270881,52.406
271289,52.408
271697,52.410
272105,52.412
272513,52.414
272921,52.416
273329,52.418
273737,52.420
274145,52.422
274553,52.424
274961,52.426
275369,52.428
275777,52.430
276185,52.432
276593,52.433
277001,52.435
277409,52.437
277817,52.439
278225,52.441
278633,52.443
279041,52.445
279449,52.446
279857,52.448
280265,52.450
280673,52.452
281081,52.454
281489,52.455
281897,52.458
282305,52.460
282713,52.462
283121,52.464
283529,52.465
283937,52.467
284345,52.469
284753,52.471
285161,52.472
285569,52.474
285977,52.476
286385,52.477
286793,52.479
287201,52.481
287609,52.483
288017,52.484
288425,52.486
288833,52.488
289241,52.489
289649,52.491
290057,52.493
290465,52.494
290873,52.496
291077,52.497
291485,52.498
291893,52.501
292301,52.503
292709,52.504
293117,52.506
293525,52.507
293933,52.509
294341,52.511
294749,52.512
295157,52.514
295565,52.515
295973,52.517
296381,52.518
296789,52.520
297197,52.522
297605,52.523
298013,52.525
298421,52.526
298829,52.528
299237,52.529
299645,52.531
300053,52.532
300461,52.534
300869,52.535
301277,52.537
301685,52.538
302093,52.540
302501,52.542
302909,52.543
303317,52.545
303725,52.546
304133,52.548
304541,52.549
304949,52.550
305561,52.552
305969,52.554
306377,52.555
306581,52.556
306989,52.557
307397,52.559
307805,52.560
308213,52.561
308621,52.563
309029,52.564
309437,52.565
309845,52.567
310253,52.568
310661,52.569
311069,52.571
311477,52.572
311885,52.573
312293,52.575
312701,52.576
313109,52.578
313517,52.579
313925,52.580
314333,52.581
314741,52.583
315149,52.584
315557,52.585
315965,52.586
316373,52.588
316781,52.589
317189,52.590
317597,52.591
318005,52.592
318413,52.593
318821,52.595
319229,52.596
319637,52.597
320045,52.598
320453,52.599
320861,52.600
321677,52.603
321881,52.603
322289,52.604
322697,52.606
323105,52.607
323513,52.608
323921,52.609
324329,52.610
324737,52.611
325145,52.612
325553,52.613
325961,52.614
326369,52.615
326777,52.616
327185,52.617
327593,52.618
328001,52.619
328409,52.620
328817,52.621
329225,52.622
329633,52.623
330041,52.624
330449,52.625
330857,52.626
331265,52.627
331673,52.628
332081,52.629
332489,52.630
332897,52.631
333305,52.632
333713,52.633
334121,52.634
334529,52.635
334937,52.635
335345,52.636
335753,52.637
336161,52.638
336569,52.639
336773,52.639
337181,52.640
337589,52.641
337997,52.642
338405,52.642
338813,52.643
339221,52.644
339629,52.645
340037,52.645
340445,52.646
340853,52.647
341261,52.648
341669,52.648
342077,52.649
342485,52.650
343505,52.652
343913,52.653
344321,52.653
344729,52.654
