time_ms,depth_m,gas_idx
8033,1.679,0
13133,3.424,0
18233,5.103,0
23333,6.849,0
28433,8.528,0
33533,10.273,0
38633,11.952,0
43733,13.698,0
48833,15.376,0
53933,17.122,0
59033,18.801,0
64160,20.547,0
69260,22.292,0
74360,23.971,0
79460,25.717,0
84560,27.396,0
89660,29.141,0
94760,30.820,0
99860,32.566,0
104960,34.244,0
110060,35.990,0
115160,37.669,0
120260,39.415,0
125383,41.093,0
130483,42.839,0
135583,44.518,0
140683,46.264,0
145783,47.942,0
150883,49.688,0
155983,51.367,0
161083,53.112,0
166183,54.791,0
171283,56.537,0
176383,58.215,0
181483,59.961,0
186606,61.640,0
191706,63.386,0
196806,65.064,0
201906,66.810,0
207006,68.489,0
212106,70.235,0
217206,71.913,0
222306,73.659,0
227406,75.338,0
232506,77.083,0
237606,78.762,0
242706,80.508,0
247829,82.187,0
252929,83.932,0
258029,85.611,0
263129,87.357,0
268229,89.035,0
273329,90.655,0
278429,90.749,0
283529,90.848,0
288629,90.942,0
293729,91.039,0
298829,91.131,0
303929,91.225,0
309029,91.314,0
314129,91.405,0
319229,91.490,0
324329,91.576,0
329429,91.657,0
334529,91.737,0
339629,91.811,0
344729,91.885,0
354929,92.019,0
360029,92.079,0
365133,92.138,0
370233,92.190,0
375333,92.239,0
380433,92.282,0
385533,92.323,0
390633,92.357,0
395733,92.387,0
400833,92.411,0
405933,92.431,0
411033,92.446,0
416133,92.455,0
421233,92.460,0
426333,92.459,0
431433,92.453,0
436533,92.442,0
441633,92.426,0
446733,92.404,0
451833,92.378,0
456933,92.346,0
462033,92.311,0
467133,92.269,0
472233,92.225,0
477333,92.174,0
482433,92.120,0
487533,92.061,0
492633,91.999,0
497733,91.932,0
502833,91.863,0
507933,91.788,0
513033,91.713,0
518133,91.631,0
523233,91.550,0
528333,91.463,0
533433,91.377,0
538533,91.286,0
543633,91.196,0
548733,91.102,0
553833,91.009,0
558933,90.912,0
564033,90.818,0
569133,90.719,0
574233,90.624,0
579333,90.526,0
584433,90.431,0
589576,90.333,0
594676,90.237,0
599776,90.145,0
604876,90.051,0
609976,89.962,0
615076,89.872,0
620176,89.787,0
630376,89.622,0
635476,89.542,0
640576,89.468,0
645676,89.395,0
650776,89.328,0
660993,89.203,0
666093,89.145,0
671193,89.094,0
676293,89.046,0
681393,89.003,0
686493,88.964,0
691593,88.931,0
696693,88.902,0
701793,88.879,0
706893,88.859,0
711993,88.846,0
717093,88.837,0
722193,88.834,0
727293,88.836,0
732393,88.843,0
737493,88.855,0
742593,88.872,0
747693,88.895,0
752793,88.922,0
762993,88.991,0
768093,89.033,0
