time_ms,pa_flash,pa_profile,pa_diff,depth_flash_m,depth_profile_m,depth_diff_m,gas_idx
8033,113033.3,113033.3,0.0,1.194,1.194,0.000,0
13133,130592.0,130592.0,-0.0,2.983,2.983,-0.000,0
18233,147475.3,147475.3,0.0,4.704,4.704,0.000,0
23333,165034.0,165034.0,-0.0,6.494,6.494,-0.000,0
28433,181917.3,181917.4,-0.1,8.215,8.215,-0.000,0
33533,199476.0,199476.0,0.0,10.005,10.005,0.000,0
38633,216359.3,216359.4,-0.1,11.726,11.726,-0.000,0
43733,233918.0,233918.0,0.0,13.516,13.516,0.000,0
48833,250801.3,250801.4,-0.1,15.237,15.237,-0.000,0
53933,268360.0,268360.0,0.0,17.027,17.027,0.000,0
59033,285243.3,285243.3,0.0,18.748,18.748,0.000,0
64160,302802.0,302802.0,0.0,20.538,20.538,0.000,0
69260,320360.7,319854.2,506.5,22.328,22.276,0.052,0
74360,337244.0,337244.0,0.0,24.049,24.049,0.000,0
79460,354802.7,354352.4,450.3,25.839,25.793,0.046,0
84560,371686.0,371686.0,0.0,27.560,27.560,0.000,0
89660,389244.7,389019.6,225.1,29.350,29.327,0.023,0
94760,406128.0,406128.0,-0.0,31.071,31.071,-0.000,0
99860,423686.7,423517.8,168.9,32.861,32.843,0.017,0
104960,440570.0,440570.0,0.0,34.582,34.582,0.000,0
110060,458128.7,457622.2,506.5,36.371,36.320,0.052,0
115160,475012.0,475012.0,0.0,38.092,38.092,0.000,0
120260,492570.7,492007.9,562.8,39.882,39.825,0.057,0
125383,509454.0,509454.0,0.0,41.603,41.603,0.000,0
130483,527012.6,527012.7,-0.1,43.393,43.393,-0.000,0
135583,543896.0,543896.0,0.0,45.114,45.114,0.000,0
140683,561454.6,561454.7,-0.1,46.904,46.904,-0.000,0
145783,578338.0,578338.0,0.0,48.625,48.625,0.000,0
150883,595896.7,595896.7,0.0,50.415,50.415,0.000,0
155983,612780.0,612780.0,0.0,52.136,52.136,0.000,0
161083,630338.7,630338.7,0.0,53.926,53.926,0.000,0
166183,647222.0,647222.0,0.0,55.647,55.647,0.000,0
171283,664780.7,664780.6,0.1,57.437,57.437,0.000,0
176383,681664.0,681664.0,0.0,59.158,59.158,0.000,0
181483,699222.7,699222.7,0.0,60.948,60.948,0.000,0
186606,716106.0,716106.0,0.0,62.669,62.669,0.000,0
191706,733664.7,733664.7,0.0,64.459,64.459,0.000,0
196806,750548.0,750548.0,0.0,66.180,66.180,0.000,0
201906,768106.7,768106.7,0.0,67.970,67.970,0.000,0
207006,784990.0,784990.1,-0.1,69.691,69.691,-0.000,0
212106,802548.7,802548.6,0.1,71.480,71.480,0.000,0
217206,819432.0,819432.0,0.0,73.202,73.202,0.000,0
222306,836990.6,836990.6,-0.0,74.991,74.991,-0.000,0
227406,853874.0,853874.0,0.0,76.712,76.712,0.000,0
232506,871432.6,871432.7,-0.1,78.502,78.502,-0.000,0
237606,888316.0,888316.0,0.0,80.223,80.223,0.000,0
242706,905874.6,905874.6,0.0,82.013,82.013,0.000,0
247829,922758.0,922758.0,0.0,83.734,83.734,0.000,0
252929,940316.6,940316.6,0.0,85.524,85.524,0.000,0
258029,957200.0,957200.0,0.0,87.245,87.245,0.000,0
263129,974758.6,974758.7,-0.1,89.035,89.035,-0.000,0
268229,991642.0,991642.0,0.0,90.756,90.756,0.000,0
273329,1007926.4,1007926.3,0.1,92.416,92.416,0.000,0
278429,1008880.6,1008880.6,0.0,92.513,92.513,0.000,0
283529,1009869.9,1009869.9,0.0,92.614,92.614,0.000,0
288629,1010815.5,1010815.5,0.0,92.711,92.711,0.000,0
293729,1011790.3,1011790.3,0.0,92.810,92.810,0.000,0
298829,1012716.8,1012716.8,0.0,92.904,92.904,0.000,0
303929,1013665.9,1013665.9,0.0,93.001,93.001,0.000,0
309029,1014562.4,1014562.3,0.1,93.092,93.092,0.000,0
314129,1015475.2,1015475.2,0.0,93.186,93.186,0.000,0
319229,1016331.5,1016331.6,-0.1,93.273,93.273,-0.000,0
324329,1017197.5,1017197.5,0.0,93.361,93.361,0.000,0
329429,1018004.1,1018004.0,0.1,93.443,93.443,0.000,0
334529,1018813.3,1018813.3,0.0,93.526,93.526,0.000,0
339629,1019560.8,1019560.8,0.0,93.602,93.602,0.000,0
344729,1020304.2,1020304.2,0.0,93.678,93.678,0.000,0
354929,1021653.1,1021653.1,0.0,93.815,93.815,0.000,0
360029,1022257.7,1022257.7,0.0,93.877,93.877,0.000,0
365133,1022844.6,1022844.6,0.0,93.937,93.937,0.000,0
370233,1023367.0,1023367.0,0.0,93.990,93.990,0.000,0
375333,1023865.2,1023865.2,0.0,94.041,94.041,0.000,0
380433,1024299.5,1024299.4,0.1,94.085,94.085,0.000,0
385533,1024703.2,1024703.2,0.0,94.126,94.126,0.000,0
390633,1025044.6,1025044.4,0.2,94.161,94.161,0.000,0
395733,1025349.3,1025349.3,0.0,94.192,94.192,0.000,0
400833,1025593.5,1025593.4,0.1,94.217,94.217,0.000,0
405933,1025795.9,1025795.9,0.0,94.238,94.238,0.000,0
411033,1025940.2,1025940.2,0.0,94.252,94.252,0.000,0
416133,1026037.8,1026037.6,0.2,94.262,94.262,0.000,0
421233,1026080.8,1026080.8,0.0,94.267,94.267,0.000,0
426333,1026072.4,1026072.4,0.0,94.266,94.266,0.000,0
431433,1026013.4,1026013.4,0.0,94.260,94.260,0.000,0
436533,1025899.4,1025899.4,0.0,94.248,94.248,0.000,0
441633,1025739.2,1025739.2,0.0,94.232,94.232,0.000,0
446733,1025520.6,1025520.6,0.0,94.210,94.210,0.000,0
451833,1025261.1,1025261.1,0.0,94.183,94.183,0.000,0
456933,1024940.4,1024940.4,0.0,94.150,94.150,0.000,0
462033,1024584.4,1024584.4,0.0,94.114,94.114,0.000,0
467133,1024165.4,1024165.4,0.0,94.071,94.071,0.000,0
472233,1023717.0,1023717.0,0.0,94.026,94.026,0.000,0
477333,1023204.4,1023204.2,0.2,93.973,93.973,0.000,0
482433,1022668.6,1022668.6,0.0,93.919,93.919,0.000,0
487533,1022068.4,1022068.4,0.0,93.858,93.858,0.000,0
492633,1021451.5,1021451.4,0.1,93.795,93.795,0.000,0
497733,1020770.4,1020770.4,0.0,93.725,93.725,0.000,0
502833,1020079.2,1020079.2,0.0,93.655,93.655,0.000,0
507933,1019325.0,1019324.9,0.1,93.578,93.578,0.000,0
513033,1018567.7,1018567.7,0.0,93.501,93.501,0.000,0
518133,1017748.9,1017748.9,0.0,93.417,93.417,0.000,0
523233,1016933.9,1016933.9,0.0,93.334,93.334,0.000,0
528333,1016059.9,1016059.9,0.0,93.245,93.245,0.000,0
533433,1015196.6,1015196.6,0.0,93.157,93.157,0.000,0
538533,1014277.4,1014277.4,0.0,93.063,93.063,0.000,0
543633,1013375.6,1013375.5,0.1,92.972,92.972,0.000,0
548733,1012421.6,1012421.6,0.0,92.874,92.874,0.000,0
553833,1011491.6,1011491.6,0.0,92.779,92.779,0.000,0
558933,1010513.7,1010513.6,0.1,92.680,92.680,0.000,0
564033,1009566.0,1009566.0,0.0,92.583,92.583,0.000,0
569133,1008575.4,1008575.4,0.0,92.482,92.482,0.000,0
574233,1007620.9,1007620.9,0.0,92.385,92.385,0.000,0
579333,1006628.8,1006628.9,-0.1,92.284,92.284,-0.000,0
584433,1005678.4,1005678.4,0.0,92.187,92.187,0.000,0
589576,1004696.2,1004696.2,-0.0,92.087,92.087,-0.000,0
594676,1003723.4,1003723.4,-0.0,91.988,91.988,-0.000,0
599776,1002799.6,1002799.6,-0.0,91.893,91.893,-0.000,0
604876,1001853.4,1001853.5,-0.1,91.797,91.797,-0.000,0
