time_ms,depth_m,pa
4769,0.620,102228.0
5381,0.826,104254.0
5789,0.964,105604.7
6401,1.171,107630.7
7013,1.377,109656.7
8033,1.722,113033.3
8645,1.928,115059.3
9053,2.066,116410.0
9665,2.341,119111.3
10277,2.548,121137.3
10685,2.686,122488.0
11297,2.892,124514.0
11909,3.099,126540.0
12317,3.237,127890.7
12929,3.443,129916.7
13541,3.650,131942.7
13949,3.788,133293.3
14561,3.994,135319.3
15173,4.201,137345.3
15581,4.338,138696.0
16193,4.545,140722.0
16805,4.752,142748.0
17213,4.889,144098.7
17621,5.027,145449.3
18233,5.234,147475.3
18845,5.440,149501.3
19253,5.578,150852.0
19865,5.854,153553.3
20477,6.060,155579.3
20885,6.198,156930.0
21497,6.404,158956.0
22109,6.611,160982.0
22517,6.749,162332.7
23129,6.955,164358.7
23741,7.162,166384.7
24149,7.300,167735.3
24761,7.506,169761.3
25373,7.713,171787.3
25781,7.851,173138.0
26393,8.057,175164.0
27005,8.264,177190.0
27413,8.402,178540.7
28637,8.815,182592.7
29657,9.228,186644.7
30269,9.434,188670.7
31289,9.779,192047.3
31901,9.985,194073.3
32309,10.123,195424.0
32921,10.330,197450.0
33533,10.536,199476.0
34145,10.743,201502.0
34757,10.950,203528.0
35981,11.363,207580.0
36389,11.500,208930.7
37205,11.776,211632.0
37613,11.914,212982.7
38429,12.189,215684.0
38837,12.327,217034.7
39449,12.533,219060.7
40673,13.015,223788.0
41285,13.222,225814.0
42509,13.635,229866.0
42917,13.773,231216.7
43733,14.048,233918.0
44957,14.462,237970.0
45365,14.599,239320.7
45977,14.806,241346.7
46589,15.013,243372.7
47201,15.219,245398.7
47813,15.426,247424.7
48221,15.563,248775.3
49037,15.839,251476.7
49445,15.977,252827.3
50261,16.321,256204.0
50669,16.459,257554.7
51281,16.665,259580.7
52505,17.078,263632.7
53117,17.285,265658.7
53525,17.423,267009.3
54341,17.698,269710.7
54749,17.836,271061.3
55565,18.111,273762.7
55973,18.249,275113.3
56789,18.525,277814.7
57197,18.662,279165.3
58421,19.076,283217.3
59033,19.282,285243.3
59645,19.489,287269.3
60053,19.626,288620.0
60869,19.971,291996.7
61277,20.109,293347.3
62093,20.384,296048.7
62501,20.522,297399.3
63117,20.728,299425.3
63752,20.935,301451.3
64568,21.210,304152.7
64976,21.348,305503.3
66200,21.761,309555.3
67424,22.174,313607.3
68648,22.588,317659.3
69056,22.725,319010.0
69872,23.070,322386.7
70280,23.207,323737.3
71504,23.621,327789.3
72116,23.827,329815.3
72728,24.034,331841.3
73340,24.240,333867.3
73952,24.447,335893.3
75176,24.860,339945.3
75584,24.998,341296.0
76400,25.273,343997.3
76808,25.411,345348.0
77420,25.618,347374.0
78032,25.824,349400.0
78644,26.031,351426.0
79256,26.238,353452.0
79868,26.513,356153.3
80480,26.720,358179.3
80888,26.857,359530.0
81704,27.133,362231.3
82112,27.270,363582.0
82724,27.477,365608.0
83336,27.684,367634.0
83948,27.890,369660.0
84560,28.097,371686.0
85172,28.303,373712.0
85784,28.510,375738.0
87008,28.923,379790.0
87416,29.061,381140.7
88232,29.336,383842.0
89252,29.681,387218.7
89864,29.956,389920.0
91700,30.576,395998.0
92312,30.783,398024.0
93536,31.196,402076.0
94556,31.540,405452.7
95168,31.747,407478.7
95781,31.953,409504.7
96392,32.160,411530.7
97004,32.366,413556.7
97616,32.573,415582.7
98024,32.711,416933.3
98840,32.986,419634.7
99248,33.124,420985.3
100064,33.468,424362.0
100472,33.606,425712.7
101084,33.813,427738.7
102308,34.226,431790.7
103532,34.639,435842.7
104144,34.846,437868.7
104552,34.983,439219.3
105368,35.259,441920.7
105776,35.397,443271.3
106592,35.672,445972.7
107000,35.810,447323.3
107612,36.016,449349.3
108224,36.223,451375.3
108836,36.429,453401.3
109448,36.636,455427.3
109856,36.774,456778.0
110672,37.118,460154.7
111896,37.531,464206.7
112304,37.669,465557.3
112916,37.876,467583.3
113528,38.082,469609.3
114140,38.289,471635.3
114752,38.495,473661.3
115160,38.633,475012.0
115976,38.909,477713.3
116384,39.046,479064.0
117200,39.322,481765.3
118424,39.735,485817.3
118832,39.873,487168.0
119444,40.079,489194.0
120056,40.286,491220.0
121280,40.768,495947.3
122504,41.181,499999.3
122912,41.319,501350.0
123751,41.594,504051.3
124159,41.732,505402.0
124975,42.008,508103.3
125383,42.145,509454.0
126199,42.421,512155.3
127219,42.765,515532.0
127831,42.972,517558.0
128443,43.178,519584.0
129055,43.385,521610.0
129667,43.660,524311.3
130279,43.867,526337.4
130687,44.005,527688.0
131503,44.280,530389.4
131911,44.418,531740.0
132727,44.693,534441.3
133135,44.831,535792.0
133747,45.038,537818.0
134971,45.451,541870.0
135583,45.657,543896.0
135991,45.795,545246.7
136807,46.071,547948.0
137215,46.208,549298.6
138031,46.484,552000.0
138439,46.621,553350.6
139663,47.104,558078.0
140275,47.310,560104.0
140887,47.517,562130.0
141499,47.723,564156.0
142111,47.930,566182.0
142519,48.068,567532.6
143335,48.343,570234.0
143743,48.481,571584.6
144559,48.756,574286.0
144967,48.894,575636.7
145579,49.101,577662.7
146191,49.307,579688.6
146803,49.514,581714.6
147415,49.720,583740.7
147823,49.858,585091.4
148639,50.134,587792.6
149047,50.271,589143.3
149863,50.616,592520.0
150271,50.753,593870.6
150883,50.960,595896.7
151495,51.167,597922.7
152107,51.373,599948.6
152719,51.580,601974.6
153331,51.786,604000.7
153943,51.993,606026.6
154351,52.131,607377.4
155167,52.406,610078.7
155575,52.544,611429.4
156391,52.819,614130.6
157411,53.164,617507.4
158023,53.370,619533.4
159247,53.783,623585.3
159655,53.921,624936.0
160471,54.265,628312.7
160879,54.403,629663.3
161695,54.679,632364.7
162103,54.816,633715.4
162715,55.023,635741.3
163327,55.230,637767.3
163939,55.436,639793.4
164551,55.643,641819.3
165163,55.849,643845.3
165775,56.056,645871.3
166999,56.469,649923.3
168223,56.882,653975.4
169855,57.433,659378.0
170467,57.709,662079.3
171079,57.915,664105.3
171691,58.122,666131.3
172303,58.329,668157.4
172711,58.466,669508.0
173527,58.742,672209.3
