# summary.csv aggregates benchmark timing samples extracted from the log.
# label names the benchmarked operation. All rows are treated as single measurements because logs do not contain offline window batches.
section,label,count,sum_cycles,min_cycles,median_cycles,avg_cycles,max_cycles,sum_ns,min_ns,median_ns,avg_ns,max_ns
single,dive.deco_schedule,97,52670723,101296,689178,542997,961980,4258735750114,63310003,36563187104,43904492269,599860009079
single,dive.deco_schedule.rate,2390,525839,220,220,220,221,13008133077356946,13750,1375042,5442733505170,1375072122263471
single,dive.display_refresh,703,361090882,2115,21531,513642,3022821,78604731724019,665250,136506229,111813274145,11917262530248
single,dive.o2_tox,58,15428,266,266,266,266,1662563212131824,16625,16625478,28664882967790,1662561812001876
single,dive.o2_tox.rate,3615,853140,236,236,236,236,21788635030224437,14750,14750,6027284932288,14750991800167958
single,dive.rate_and_logging,2235,27987973,12077,12087,12522,14770,75493722085253754481768871,754812,857812,33777951715997205584684,75493720250202506150299920
single,flash.init.reset_pos,4,51952,12988,12988,12988,12988,83610272,811750,811750,20902568,81175022
single,flash.log.rate,653,125677,29,209,192,209,14379938091,13062,1306274,22021344,1306220274
single,flash.serial.write,2,25114,12557,12557,12557,12557,79266034,784812,39633017,39633017,78481222
single,task.mode.tick.loop,298,342441002,38919,858305,1149130,3531232,3359206928740922942908922048953482985213097019746604235553886607426855065149216657307303,27432437,111167812825,11272506472284976318486315600515043574540594025995316226690894655794815654863143145326,3355487560870263116190469361006100610069147146100610069385913906100610069627239061006100
