time_ms,depth_m,gas_idx
22946,6.715,0
43142,13.496,0
63342,20.278,0
83363,26.993,0
103559,33.774,0
123575,40.489,0
143771,47.271,0
163971,50.437,0
184167,50.577,0
204363,50.713,0
224559,50.842,0
244755,50.962,0
264951,51.069,0
285147,51.163,0
305343,51.240,0
325539,51.300,0
345735,51.341,0
365931,51.363,0
386127,51.365,0
406323,51.347,0
426519,51.309,0
446715,51.253,0
466911,51.178,0
487110,51.088,0
507306,50.983,0
527502,50.865,0
547698,50.738,0
567894,50.603,0
588090,50.463,0
608286,50.321,0
628482,50.180,0
648678,50.043,0
668874,49.913,0
689070,49.790,0
709266,49.679,0
729462,49.582,0
749658,49.499,0
769854,49.434,0
790050,49.387,0
810246,49.360,0
830445,49.352,0
850641,49.365,0
870837,49.397,0
891033,49.448,0
911229,49.517,0
931425,49.603,0
951621,49.705,0
971817,49.819,0
992013,49.943,0
1032405,50.215,0
1052601,50.357,0
1072797,48.478,0
1092993,46.559,0
1113189,44.639,0
1133385,42.720,0
1153405,40.820,0
1173601,38.900,0
1193797,36.981,0
1213993,35.062,0
1254385,31.223,0
1274581,29.303,0
1294777,27.384,0
1314973,25.465,0
1334990,23.564,0
1355186,21.645,0
1375382,19.726,0
1395578,17.806,0
1415774,15.887,0
1435969,13.968,0
1456165,12.048,0
1476361,10.129,0
1496557,8.210,0
1516754,6.290,0
1536950,4.371,0
1557146,2.451,0
1577342,0.532,0
