time_ms,depth_flash_m,depth_profile_m,depth_diff_m,gas_idx
22946,6.715,6.886,-0.171,0
43142,13.496,13.842,-0.346,0
63342,20.278,20.797,-0.519,0
83363,26.993,27.684,-0.691,0
103559,33.774,34.639,-0.865,0
123575,40.489,41.531,-1.042,0
143771,47.271,48.481,-1.210,0
163971,50.437,51.727,-1.291,0
184167,50.577,51.872,-1.295,0
204363,50.713,52.011,-1.298,0
224559,50.842,52.144,-1.302,0
244755,50.962,52.266,-1.304,0
264951,51.069,52.377,-1.307,0
285147,51.163,52.472,-1.309,0
305343,51.240,52.552,-1.312,0
325539,51.300,52.613,-1.313,0
345735,51.341,52.656,-1.315,0
365931,51.363,52.678,-1.315,0
386127,51.365,52.680,-1.315,0
406323,51.347,52.661,-1.314,0
426519,51.309,52.623,-1.314,0
446715,51.253,52.564,-1.311,0
466911,51.178,52.489,-1.311,0
487110,51.088,52.396,-1.308,0
507306,50.983,52.288,-1.305,0
527502,50.865,52.167,-1.302,0
547698,50.738,52.037,-1.299,0
567894,50.603,51.899,-1.296,0
588090,50.463,51.755,-1.292,0
608286,50.321,51.610,-1.289,0
628482,50.180,51.465,-1.285,0
648678,50.043,51.325,-1.282,0
668874,49.913,51.191,-1.278,0
689070,49.790,51.065,-1.275,0
709266,49.679,50.951,-1.272,0
729462,49.582,50.851,-1.269,0
749658,49.499,50.767,-1.267,0
769854,49.434,50.700,-1.266,0
790050,49.387,50.651,-1.264,0
810246,49.360,50.623,-1.264,0
830445,49.352,50.616,-1.264,0
850641,49.365,50.628,-1.263,0
870837,49.397,50.662,-1.265,0
891033,49.448,50.714,-1.266,0
911229,49.517,50.785,-1.268,0
931425,49.603,50.873,-1.270,0
951621,49.705,50.977,-1.272,0
971817,49.819,51.094,-1.275,0
992013,49.943,51.222,-1.279,0
1032405,50.215,51.501,-1.286,0
1052601,50.357,51.645,-1.288,0
1072797,48.478,49.719,-1.241,0
1092993,46.559,47.751,-1.192,0
1113189,44.639,45.782,-1.143,0
1133385,42.720,43.814,-1.094,0
1153405,40.820,41.865,-1.045,0
1173601,38.900,39.896,-0.996,0
1193797,36.981,37.928,-0.947,0
1213993,35.062,35.959,-0.898,0
1254385,31.223,32.022,-0.799,0
1274581,29.303,30.053,-0.750,0
1294777,27.384,28.085,-0.701,0
1314973,25.465,26.117,-0.652,0
1334990,23.564,24.168,-0.604,0
1355186,21.645,22.199,-0.554,0
1375382,19.726,20.230,-0.505,0
1395578,17.806,18.262,-0.456,0
1415774,15.887,16.294,-0.407,0
1435969,13.968,14.325,-0.357,0
1456165,12.048,12.357,-0.309,0
1476361,10.129,10.388,-0.259,0
1496557,8.210,8.420,-0.210,0
1516754,6.290,6.451,-0.161,0
1536950,4.371,4.483,-0.112,0
1557146,2.451,2.514,-0.063,0
1577342,0.532,0.545,-0.013,0
