time_ms,depth_m,pa
4586,0.551,101562.7
5402,0.826,104264.0
5810,0.964,105614.7
6422,1.171,107640.7
7034,1.377,109666.7
7442,1.515,111017.3
8054,1.722,113043.3
8666,1.928,115069.3
9074,2.066,116420.0
9686,2.341,119121.3
10298,2.548,121147.3
10706,2.686,122498.0
11930,3.099,126550.0
12950,3.443,129926.7
13562,3.650,131952.7
13970,3.788,133303.3
14582,3.994,135329.3
15194,4.201,137355.3
15602,4.338,138706.0
16826,4.752,142758.0
17234,4.889,144108.7
18458,5.303,148160.7
18866,5.440,149511.3
20090,5.922,154238.7
20498,6.060,155589.3
21110,6.267,157615.3
21722,6.473,159641.3
22130,6.611,160992.0
23354,7.024,165044.0
23762,7.162,166394.7
24170,7.300,167745.3
25394,7.713,171797.3
25802,7.851,173148.0
26414,8.057,175174.0
27026,8.264,177200.0
27434,8.402,178550.7
28658,8.815,182602.7
29066,8.952,183953.3
29678,9.228,186654.7
30290,9.434,188680.7
31310,9.779,192057.3
31922,9.985,194083.3
33146,10.399,198135.3
33554,10.536,199486.0
34370,10.812,202187.3
34778,10.950,203538.0
35390,11.156,205564.0
36002,11.363,207590.0
38450,12.189,215694.0
38858,12.327,217044.7
39674,12.602,219746.0
40082,12.809,221772.0
40898,13.084,224473.3
41306,13.222,225824.0
41918,13.429,227850.0
43142,13.842,231902.0
44366,14.255,235954.0
44978,14.462,237980.0
45386,14.599,239330.7
46202,14.875,242032.0
47426,15.288,246084.0
47834,15.426,247434.7
48446,15.632,249460.7
49058,15.839,251486.7
49670,16.046,253512.7
50282,16.321,256214.0
50894,16.528,258240.0
51506,16.734,260266.0
51914,16.872,261616.7
52730,17.147,264318.0
53138,17.285,265668.7
53954,17.561,268370.0
54362,17.698,269720.7
54974,17.905,271746.7
55586,18.111,273772.7
56810,18.525,277824.7
57218,18.662,279175.3
58034,18.938,281876.7
58442,19.076,283227.3
59258,19.351,285928.7
59666,19.489,287279.3
60278,19.764,289980.7
60890,19.971,292006.7
62114,20.384,296058.7
62726,20.591,298084.7
63342,20.797,300110.7
63983,21.004,302136.7
64595,21.210,304162.7
65819,21.624,308214.7
66227,21.761,309565.3
67043,22.037,312266.7
68267,22.450,316318.7
68675,22.588,317669.3
69287,22.863,320370.7
69899,23.070,322396.7
71123,23.483,326448.7
71735,23.689,328474.7
72347,23.896,330500.7
72755,24.034,331851.3
73571,24.309,334552.7
73979,24.447,335903.3
74795,24.722,338604.7
75203,24.860,339955.3
75815,25.067,341981.3
76427,25.273,344007.3
77651,25.687,348059.3
78875,26.100,352111.3
80099,26.582,356838.7
80507,26.720,358189.3
81731,27.133,362241.3
82955,27.546,366293.3
83567,27.753,368319.3
84179,27.959,370345.3
84587,28.097,371696.0
85403,28.372,374397.3
85811,28.510,375748.0
86627,28.786,378449.3
87035,28.923,379800.0
87647,29.130,381826.0
88259,29.336,383852.0
88871,29.543,385878.0
89483,29.818,388579.3
90095,30.025,390605.3
90707,30.232,392631.3
91931,30.645,396683.3
92339,30.783,398034.0
93155,31.058,400735.3
93563,31.196,402086.0
94175,31.402,404112.0
94787,31.609,406138.0
95399,31.816,408164.0
96011,32.022,410190.0
97235,32.435,414242.0
98459,32.849,418294.0
99683,33.331,423021.3
100091,33.468,424372.0
100703,33.675,426398.0
101315,33.881,428424.0
102539,34.295,432476.0
103151,34.501,434502.0
103763,34.708,436528.0
104987,35.121,440580.0
105395,35.259,441930.7
106211,35.534,444632.0
106619,35.672,445982.7
107231,35.879,448008.7
107843,36.085,450034.7
108455,36.292,452060.7
109067,36.498,454086.7
109679,36.774,456788.0
110291,36.980,458814.0
110699,37.118,460164.7
111515,37.394,462866.0
111923,37.531,464216.7
112739,37.807,466918.0
113759,38.151,470294.7
115595,38.771,476372.7
116207,38.977,478398.7
116819,39.184,480424.7
118043,39.597,484476.7
118451,39.735,485827.3
119267,40.010,488528.7
119675,40.148,489879.3
120287,40.424,492580.7
120899,40.630,494606.7
121511,40.837,496632.7
122123,41.043,498658.7
122735,41.250,500684.7
123347,41.457,502710.7
123983,41.663,504736.7
125207,42.076,508788.7
125819,42.283,510814.7
126431,42.490,512840.7
127043,42.696,514866.7
127451,42.834,516217.3
128267,43.109,518918.7
128675,43.247,520269.3
129491,43.591,523646.0
129899,43.729,524996.7
130511,43.936,527022.6
131123,44.142,529048.6
131735,44.349,531074.6
132347,44.556,533100.6
133571,44.969,537152.7
133979,45.106,538503.4
134795,45.382,541204.6
135203,45.520,542555.4
136019,45.795,545256.6
136427,45.933,546607.3
137039,46.139,548633.3
137651,46.346,550659.4
138875,46.759,554711.4
140099,47.241,559438.6
140507,47.379,560789.3
141323,47.654,563490.6
141731,47.792,564841.3
142547,48.068,567542.7
142955,48.205,568893.4
144179,48.619,572945.4
144791,48.825,574971.4
145403,49.032,576997.3
146015,49.238,579023.3
146627,49.445,581049.4
147035,49.583,582400.0
147851,49.858,585101.4
149075,50.271,589153.4
149483,50.478,591179.3
150299,50.753,593880.6
150707,50.891,595231.4
151319,51.098,597257.4
151931,51.304,599283.4
153159,51.650,602674.1
153771,51.654,602716.6
153975,51.656,602730.8
154383,51.659,602759.0
154791,51.662,602787.2
155199,51.664,602815.6
155607,51.667,602843.9
156015,51.670,602872.2
156423,51.673,602900.4
156831,51.676,602928.7
157239,51.679,602957.0
157647,51.682,602985.2
158055,51.685,603013.5
158463,51.688,603041.8
158871,51.690,603070.1
159279,51.695,603112.5
159687,51.698,603140.8
160095,51.701,603169.0
160503,51.703,603197.2
160911,51.706,603225.5
161319,51.709,603253.8
161727,51.712,603282.0
162135,51.715,603310.1
162543,51.718,603338.4
162951,51.721,603366.6
163359,51.724,603394.9
163767,51.726,603423.1
164175,51.729,603451.2
164583,51.732,603479.5
164991,51.735,603507.6
165399,51.738,603535.9
165807,51.741,603564.0
166215,51.744,603592.2
166623,51.747,603620.4
167031,51.749,603648.5
167439,51.752,603676.6
167847,51.755,603704.8
168255,51.758,603732.9
168663,51.761,603761.1
169071,51.764,603789.1
169479,51.768,603831.4
169887,51.771,603859.4
170295,51.774,603887.5
170703,51.777,603915.6
171111,51.780,603943.6
171519,51.782,603971.7
171927,51.785,603999.8
172335,51.788,604027.8
172743,51.791,604055.8
173151,51.794,604083.8
173559,51.797,604111.8
173967,51.800,604139.9
174375,51.802,604167.8
174783,51.805,604195.8
175191,51.808,604223.8
175599,51.811,604251.6
176007,51.814,604279.6
176415,51.817,604307.5
176823,51.819,604335.4
177231,51.822,604363.3
177639,51.825,604391.2
178047,51.828,604419.0
178455,51.831,604446.9
178863,51.834,604474.8
179271,51.837,604502.5
179679,51.841,604544.2
180087,51.844,604572.0
180291,51.845,604585.9
180699,51.848,604613.7
181107,51.851,604641.5
181719,51.855,604683.1
182127,51.858,604710.8
182535,51.861,604738.4
182943,51.863,604766.1
183351,51.866,604793.8
183759,51.869,604821.5
184167,51.872,604849.1
184575,51.875,604876.8
184983,51.877,604904.3
185391,51.880,604931.9
185799,51.883,604959.4
186207,51.886,604987.0
186615,51.889,605014.5
187023,51.892,605042.0
187431,51.894,605069.5
187839,51.897,605096.9
188247,51.900,605124.4
188655,51.903,605151.8
189063,51.906,605179.2
189471,51.908,605206.6
189879,51.912,605247.7
190287,51.915,605275.0
190695,51.918,605302.3
191103,51.921,605329.6
191511,51.924,605356.9
191919,51.926,605384.1
192327,51.929,605411.4
192735,51.932,605438.6
193143,51.935,605465.8
193551,51.938,605492.9
193959,51.940,605520.1
194367,51.943,605547.2
194775,51.946,605574.4
195183,51.949,605601.4
195591,51.951,605628.5
195999,51.954,605655.6
196407,51.957,605682.5
196815,51.960,605709.5
197223,51.962,605736.5
197631,51.965,605763.4
198039,51.968,605790.3
198447,51.971,605817.2
198855,51.973,605844.1
199263,51.976,605870.9
199671,51.979,605897.8
200079,51.983,605937.9
200487,51.986,605964.7
