time_ms,pa_flash,pa_profile,pa_diff,depth_flash_m,depth_profile_m,depth_diff_m,gas_idx
22947,163423.3,163423.4,-0.1,6.330,6.330,-0.000,0
43143,231632.0,231632.0,0.0,13.283,13.283,0.000,0
63342,299840.7,299840.7,0.0,20.236,20.236,0.000,0
83363,367374.0,367374.0,0.0,27.120,27.120,0.000,0
103559,435582.7,435582.7,0.0,34.073,34.073,0.000,0
123576,503116.0,503169.0,-53.0,40.957,40.963,-0.005,0
143772,571324.6,571324.7,-0.1,47.910,47.910,-0.000,0
163972,639533.4,639533.3,0.1,54.863,54.863,0.000,0
183988,707066.7,707077.8,-11.1,61.747,61.749,-0.001,0
204184,775275.3,775275.3,0.0,68.700,68.700,0.000,0
224380,843484.0,843484.1,-0.1,75.653,75.653,-0.000,0
244396,911017.3,911017.3,-0.0,82.537,82.537,-0.000,0
264592,979226.0,979226.0,0.0,89.490,89.490,0.000,0
284788,1009837.4,1009837.3,0.1,92.611,92.611,0.000,0
304984,1013586.6,1013586.6,0.0,92.993,92.993,0.000,0
325180,1017068.4,1017068.4,0.0,93.348,93.348,0.000,0
345376,1020127.6,1020127.5,0.1,93.660,93.660,0.000,0
365572,1022627.9,1022627.9,0.0,93.915,93.915,0.000,0
385768,1024457.8,1024457.8,0.1,94.101,94.101,0.000,0
405964,1025535.9,1025535.8,0.2,94.211,94.211,0.000,0
426160,1025813.8,1025813.8,0.0,94.239,94.239,0.000,0
446356,1025279.2,1025279.2,0.0,94.185,94.185,0.000,0
466554,1023956.2,1023956.2,0.0,94.050,94.050,0.000,0
486750,1021903.6,1021903.6,0.0,93.841,93.841,0.000,0
506946,1019212.8,1019212.8,0.0,93.567,93.567,0.000,0
527142,1016003.9,1016003.9,0.0,93.239,93.239,0.000,0
547338,1012419.9,1012419.9,0.0,92.874,92.874,0.000,0
567534,1008620.6,1008620.6,0.0,92.487,92.487,0.000,0
587730,1004775.3,1004775.3,0.0,92.095,92.095,0.000,0
607926,1001055.6,1001055.6,0.0,91.716,91.716,0.000,0
628122,997627.0,997627.0,0.0,91.366,91.366,0.000,0
648318,994642.8,994642.8,0.1,91.062,91.062,0.000,0
668514,992235.6,992235.6,0.0,90.817,90.817,0.000,0
688710,990512.9,990512.9,0.0,90.641,90.641,0.000,0
708906,989551.6,989551.6,-0.0,90.543,90.543,-0.000,0
729102,989394.4,989394.4,-0.0,90.527,90.527,-0.000,0
749298,990048.4,990048.4,0.0,90.594,90.594,0.000,0
769494,991484.4,991484.5,-0.1,90.740,90.740,-0.000,0
789694,993638.4,993638.4,0.0,90.960,90.960,0.000,0
809897,996414.2,996414.2,-0.1,91.243,91.243,-0.000,0
830093,999688.4,999688.4,-0.0,91.576,91.576,-0.000,0
850115,1003277.7,1003277.7,0.0,91.942,91.942,0.000,0
870311,1007093.6,1007093.6,-0.0,92.331,92.331,-0.000,0
890368,985859.1,985859.1,0.0,90.167,90.167,0.000,0
910385,960881.0,960881.0,0.0,87.620,87.620,0.000,0
930581,935653.1,935653.1,-0.0,85.049,85.049,-0.000,0
950777,910425.2,910425.3,-0.1,82.477,82.477,-0.000,0
970798,885447.2,885447.2,0.0,79.931,79.931,0.000,0
990994,860219.3,860219.3,0.0,77.359,77.359,0.000,0
1011190,834991.4,834991.4,0.0,74.788,74.788,0.000,0
1031207,810013.4,810013.3,0.1,72.241,72.241,0.000,0
1051234,785035.3,785035.3,0.0,69.695,69.695,0.000,0
1071265,760057.2,759957.3,99.9,67.149,67.139,0.010,0
1091300,734829.3,734829.3,0.0,64.577,64.577,0.000,0
1111496,709601.4,709601.5,-0.1,62.006,62.006,-0.000,0
1131692,684373.6,684373.6,-0.0,59.434,59.434,-0.000,0
1151888,659145.8,659145.7,0.1,56.862,56.862,0.000,0
1172084,633917.9,633917.9,0.0,54.291,54.291,0.000,0
1192280,608690.1,608856.5,-166.4,51.719,51.736,-0.017,0
1212297,583712.0,583712.0,0.0,49.173,49.173,0.000,0
1232493,558484.1,558484.1,-0.0,46.601,46.601,-0.000,0
1252693,533256.2,533297.9,-41.7,44.030,44.034,-0.004,0
1272710,508278.1,508278.2,-0.1,41.483,41.484,-0.000,0
1292906,483050.2,483050.3,-0.1,38.912,38.912,-0.000,0
1313001,458072.2,458072.2,0.0,36.366,36.366,0.000,0
1373424,382638.4,382638.4,0.0,28.676,28.676,0.000,0
1393455,357660.3,357660.3,0.0,26.130,26.130,0.000,0
1413651,332432.4,332432.5,-0.0,23.558,23.558,-0.000,0
1433847,307204.6,307204.5,0.1,20.987,20.987,0.000,0
1453864,282226.5,282226.5,0.0,18.441,18.441,0.000,0
1473883,256998.6,256998.6,0.0,15.869,15.869,0.000,0
1494079,231770.8,231770.8,0.0,13.297,13.297,0.000,0
1514100,206792.7,206792.6,0.1,10.751,10.751,0.000,0
1534296,181564.8,181564.8,0.0,8.179,8.179,0.000,0
1554492,156336.9,156337.0,-0.1,5.608,5.608,-0.000,0
1574688,131109.1,131109.1,-0.0,3.036,3.036,-0.000,0
1594884,105881.2,105964.5,-83.3,0.464,0.473,-0.008,0
