time_ms,depth_m
4791,0.620
5403,0.826
5811,0.964
6423,1.171
7035,1.377
8055,1.722
8667,1.928
10299,2.548
10707,2.686
11931,3.099
12339,3.237
12951,3.443
13563,3.650
13971,3.788
14583,3.994
15195,4.201
15603,4.338
16827,4.752
17847,5.096
18459,5.303
18867,5.440
20091,5.922
20499,6.060
20907,6.198
22131,6.611
22539,6.749
23151,6.955
23763,7.162
24171,7.300
25395,7.713
25803,7.851
26415,8.057
27027,8.264
28047,8.608
28659,8.815
29067,8.952
29679,9.228
30291,9.434
30699,9.572
31311,9.779
31923,9.985
32331,10.123
33147,10.399
33555,10.536
34167,10.743
34779,10.950
36615,11.569
37227,11.776
37635,11.914
38451,12.189
39675,12.602
40083,12.809
40695,13.015
41919,13.429
42531,13.635
43143,13.842
43755,14.048
44163,14.186
44979,14.462
45387,14.599
46203,14.875
47223,15.219
47835,15.426
48447,15.632
49059,15.839
50283,16.321
50691,16.459
51507,16.734
51915,16.872
52731,17.147
53139,17.285
53751,17.492
54363,17.698
55587,18.111
55995,18.249
56811,18.525
57219,18.662
58035,18.938
58443,19.076
59055,19.282
59667,19.489
60279,19.764
60891,19.971
61503,20.177
62115,20.384
62523,20.522
63342,20.797
63983,21.004
64595,21.210
65003,21.348
65819,21.624
67043,22.037
67451,22.174
68675,22.588
69287,22.863
69899,23.070
70511,23.276
71123,23.483
72347,23.896
72755,24.034
73571,24.309
74591,24.654
75815,25.067
76427,25.273
77039,25.480
77651,25.687
78875,26.100
79283,26.306
80099,26.582
81731,27.133
82343,27.339
82955,27.546
83363,27.684
84179,27.959
84587,28.097
85403,28.372
85811,28.510
86423,28.717
87035,28.923
87647,29.130
88259,29.336
88871,29.543
89483,29.818
89891,29.956
90707,30.232
91115,30.369
91931,30.645
92339,30.783
92951,30.989
93563,31.196
94787,31.609
95399,31.816
96011,32.022
96419,32.160
97235,32.435
98459,32.849
100091,33.468
100703,33.675
101315,33.881
101927,34.088
102539,34.295
102947,34.432
103763,34.708
104171,34.846
104987,35.121
106619,35.672
107843,36.085
109067,36.498
110291,36.980
111515,37.394
111923,37.531
112739,37.807
113759,38.151
114371,38.358
114983,38.564
115595,38.771
116819,39.184
117227,39.322
118043,39.597
119267,40.010
119675,40.148
120287,40.424
120899,40.630
121511,40.837
122123,41.043
122735,41.250
123347,41.457
123984,41.663
124596,41.870
125208,42.076
125820,42.283
126228,42.421
127044,42.696
127452,42.834
128268,43.109
128676,43.247
129900,43.729
132348,44.556
132756,44.693
133572,44.969
134796,45.382
136428,45.933
137652,46.346
138264,46.553
138876,46.759
139284,46.966
140100,47.241
140508,47.379
141324,47.654
142548,48.068
142956,48.205
143568,48.412
144180,48.619
144792,48.825
145404,49.032
145812,49.169
146628,49.445
147036,49.583
147852,49.858
149076,50.271
149484,50.478
150096,50.685
151320,51.098
151932,51.304
152544,51.511
153160,51.717
154384,52.131
154792,52.268
155608,52.544
156016,52.682
156628,52.888
157240,53.095
157852,53.301
158464,53.508
159688,53.990
160096,54.128
160912,54.403
161320,54.541
162136,54.816
162544,54.954
163768,55.367
164992,55.781
166216,56.194
166624,56.331
167440,56.607
167848,56.745
168664,57.020
169072,57.158
169684,57.433
171520,58.053
172132,58.260
172744,58.466
173152,58.604
173968,58.879
174376,59.017
175192,59.293
175600,59.430
176824,59.844
177436,60.050
178048,60.257
178660,60.463
179272,60.670
179680,60.877
180496,61.152
180904,61.290
181720,61.565
182128,61.703
182740,61.909
184192,62.392
184600,62.529
185416,62.805
186436,63.149
187048,63.356
187660,63.562
189496,64.251
190720,64.664
191944,65.077
192964,65.422
193576,65.628
194188,65.835
194800,66.041
195412,66.248
196024,66.455
196432,66.592
197248,66.868
197656,67.005
198472,67.281
198880,67.488
199492,67.694
200104,67.901
202552,68.727
202960,68.865
203776,69.140
204184,69.278
205000,69.553
206020,69.898
206632,70.104
207244,70.311
207856,70.518
208468,70.724
209080,71.000
210304,71.413
210712,71.551
211528,71.826
211936,71.964
212548,72.170
213160,72.377
214384,72.790
214996,72.997
215608,73.203
216016,73.341
216832,73.617
218056,74.030
218464,74.167
219280,74.512
219688,74.649
220300,74.856
220912,75.063
221524,75.269
222136,75.476
222544,75.614
223360,75.889
223768,76.027
224584,76.302
224992,76.440
225808,76.715
226216,76.853
227440,77.266
228052,77.473
228664,77.680
229276,77.886
229888,78.162
230296,78.299
231112,78.575
231520,78.713
232336,78.988
232744,79.126
233356,79.332
233968,79.539
235192,79.952
235804,80.159
236416,80.365
236824,80.503
237640,80.778
238048,80.916
238864,81.192
239272,81.329
240496,81.811
241108,82.018
241720,82.225
242944,82.638
244192,83.051
244804,83.258
245416,83.464
246028,83.671
246640,83.877
247048,84.015
247864,84.291
248272,84.428
249088,84.773
249496,84.910
250108,85.117
250720,85.324
251944,85.737
253168,86.150
253576,86.288
254392,86.563
254800,86.701
255616,86.976
256024,87.114
256636,87.321
257248,87.527
257860,87.734
259084,88.216
259696,88.422
260104,88.560
260920,88.836
261328,88.973
262144,89.249
262552,89.387
263164,89.593
264388,90.006
265000,90.213
265612,90.420
266224,90.626
266632,90.764
267448,91.039
267856,91.177
268672,91.453
269080,91.659
269692,91.866
270304,92.072
271528,92.485
272752,92.899
273160,92.971
273772,92.983
274180,92.991
274588,92.999
274996,93.006
275404,93.014
275812,93.022
276220,93.030
276628,93.038
277036,93.045
277444,93.053
277852,93.061
278260,93.069
278668,93.076
279076,93.084
279484,93.096
279892,93.104
280300,93.111
280708,93.119
281116,93.127
281524,93.135
281932,93.143
282952,93.162
283360,93.170
283768,93.177
284176,93.185
284584,93.193
284992,93.201
285400,93.208
285808,93.216
286216,93.224
286624,93.231
287032,93.239
287440,93.247
287848,93.255
288256,93.262
288664,93.270
289072,93.278
289480,93.289
289888,93.297
290296,93.304
290704,93.312
291112,93.320
291520,93.327
291928,93.335
292336,93.343
293152,93.358
293560,93.366
293968,93.373
294376,93.381
294784,93.388
295192,93.396
295600,93.403
296008,93.411
296416,93.419
296824,93.426
297232,93.434
297640,93.441
298048,93.449
298456,93.456
299068,93.468
299476,93.475
299884,93.486
300292,93.494
300700,93.501
301108,93.509
301516,93.516
301924,93.524
302332,93.531
302740,93.538
303148,93.546
304372,93.568
304780,93.575
305188,93.583
305596,93.590
306004,93.597
306412,93.605
306820,93.612
307228,93.619
307432,93.623
307636,93.627
308044,93.634
308452,93.641
308860,93.648
309472,93.659
309880,93.670
310288,93.677
310696,93.684
311104,93.692
311512,93.699
311920,93.706
312328,93.713
312736,93.720
313144,93.727
313552,93.734
313960,93.742
314368,93.749
314776,93.756
315184,93.763
315592,93.770
316000,93.777
316408,93.784
316816,93.791
317224,93.798
317632,93.805
318040,93.812
318448,93.819
318856,93.826
319264,93.832
319672,93.839
320080,93.850
320488,93.856
320896,93.863
321304,93.870
321712,93.877
322120,93.884
322528,93.890
322936,93.897
323344,93.904
323752,93.911
324160,93.917
324568,93.924
324976,93.931
325384,93.937
325792,93.944
326812,93.961
327220,93.967
327628,93.974
328036,93.980
328444,93.987
328852,93.993
329260,94.000
329668,94.006
330076,94.013
330484,94.022
330688,94.025
331096,94.032
331504,94.038
331912,94.045
332320,94.051
332932,94.060
333340,94.067
333748,94.073
334156,94.079
334564,94.085
334972,94.092
335380,94.098
335788,94.104
336196,94.110
336604,94.116
337012,94.122
337420,94.129
337828,94.135
338236,94.141
338644,94.147
339052,94.153
339460,94.159
339868,94.165
340276,94.171
340684,94.180
341092,94.185
341500,94.191
341908,94.197
342316,94.203
342724,94.209
343132,94.215
343540,94.220
343948,94.226
344356,94.232
344764,94.237
345172,94.243
346192,94.257
346600,94.263
347008,94.268
347212,94.271
347620,94.277
348028,94.282
348436,94.288
348844,94.293
349252,94.299
349660,94.304
350068,94.310
350476,94.315
350884,94.323
351292,94.328
351700,94.334
352108,94.339
352516,94.344
352924,94.349
353536,94.357
353944,94.362
354352,94.367
354760,94.373
355168,94.378
355576,94.383
355984,94.388
356392,94.393
356800,94.398
357208,94.403
357412,94.405
357820,94.410
358228,94.415
358636,94.420
359044,94.425
359452,94.430
359860,94.434
360268,94.439
360676,94.444
361084,94.451
361696,94.458
362104,94.463
362512,94.467
362920,94.472
363328,94.476
363736,94.481
364144,94.485
364552,94.490
364960,94.494
365368,94.499
365776,94.503
366184,94.508
366592,94.512
367000,94.516
367408,94.521
367816,94.525
368224,94.529
368632,94.533
369040,94.537
369448,94.542
369856,94.546
370264,94.550
370672,94.554
371080,94.560
371488,94.564
371896,94.568
372304,94.572
372712,94.576
373120,94.580
373528,94.584
373936,94.587
374344,94.591
374752,94.595
375160,94.599
375568,94.602
375976,94.606
376384,94.610
376792,94.613
377200,94.617
377608,94.621
378016,94.624
378424,94.628
378832,94.631
379240,94.635
379648,94.638
380056,94.642
380464,94.645
380872,94.648
381280,94.653
381892,94.658
382300,94.661
382708,94.665
383116,94.668
383524,94.671
383932,94.674
384340,94.677
384748,94.680
385156,94.683
385972,94.689
386380,94.692
386788,94.695
387604,94.701
387808,94.702
388216,94.705
388624,94.708
389032,94.710
389440,94.713
389848,94.716
390256,94.718
390664,94.721
391072,94.723
391480,94.727
391888,94.730
392296,94.732
392704,94.735
393112,94.737
393520,94.739
393928,94.742
394336,94.744
394744,94.746
395152,94.749
395560,94.751
396172,94.754
396580,94.756
396988,94.758
397396,94.760
397804,94.763
398212,94.765
398620,94.767
399028,94.768
399436,94.770
399844,94.772
400660,94.776
400864,94.777
401272,94.779
401680,94.781
402088,94.783
402496,94.785
402904,94.786
403312,94.788
403720,94.789
404128,94.791
404536,94.792
404944,94.794
405352,94.795
405760,94.797
406168,94.798
406576,94.800
406984,94.801
407392,94.802
407800,94.803
408208,94.805
408616,94.806
409024,94.807
409432,94.808
409840,94.809
410248,94.810
410656,94.811
411064,94.812
411472,94.813
411880,94.815
412288,94.815
412696,94.816
413104,94.817
413512,94.818
413920,94.819
414328,94.819
414736,94.820
415144,94.821
415552,94.821
415960,94.822
416368,94.822
416776,94.823
417184,94.823
417592,94.824
418000,94.824
418408,94.825
418816,94.825
419224,94.825
419632,94.826
420040,94.826
420448,94.826
420856,94.826
421264,94.827
421672,94.827
422080,94.827
422488,94.827
422896,94.827
423304,94.827
423712,94.827
424120,94.827
424528,94.827
424936,94.826
425344,94.826
425752,94.826
426160,94.826
426568,94.826
426976,94.825
427384,94.825
427792,94.825
428200,94.824
428608,94.824
429016,94.823
429424,94.823
429832,94.822
430240,94.822
430648,94.821
431056,94.820
431464,94.820
431872,94.819
432280,94.818
432688,94.817
433096,94.816
433504,94.815
433912,94.815
434320,94.814
434728,94.813
435136,94.812
435544,94.811
435952,94.810
436360,94.809
436768,94.807
437176,94.806
437584,94.805
437992,94.804
438400,94.803
438808,94.801
439216,94.800
439624,94.799
440032,94.797
440440,94.796
440848,94.795
441256,94.793
441664,94.792
442072,94.790
442480,94.788
442888,94.786
443296,94.785
443704,94.783
444112,94.781
444520,94.780
444928,94.778
445336,94.776
445540,94.775
445948,94.773
446356,94.771
446764,94.769
447172,94.767
447581,94.766
447988,94.764
448396,94.761
448804,94.759
449212,94.757
449620,94.755
450028,94.753
450436,94.751
451048,94.748
451456,94.745
451864,94.743
452272,94.741
452680,94.737
453498,94.732
453906,94.730
454314,94.727
454722,94.725
455130,94.722
455538,94.720
455946,94.717
456354,94.714
456762,94.712
457170,94.709
457578,94.706
457986,94.703
458394,94.701
458802,94.698
459210,94.695
459618,94.692
459822,94.691
460230,94.688
460638,94.685
461046,94.682
461454,94.679
461862,94.675
462270,94.672
462678,94.668
463086,94.665
463494,94.661
463902,94.658
464310,94.655
465330,94.647
465738,94.643
466146,94.640
466554,94.636
466962,94.633
467370,94.629
467778,94.626
468186,94.622
468594,94.619
469002,94.615
469410,94.612
469818,94.608
470226,94.604
470634,94.601
471042,94.597
471450,94.593
471858,94.589
472266,94.586
472470,94.584
472878,94.578
473286,94.574
473898,94.568
474306,94.564
474714,94.560
475122,94.556
475530,94.552
475938,94.548
476346,94.544
476754,94.540
477162,94.535
477570,94.531
477978,94.527
478386,94.523
478794,94.518
479202,94.514
479610,94.510
480018,94.505
480426,94.501
480834,94.497
481242,94.492
481650,94.488
482058,94.483
482466,94.479
482874,94.474
483282,94.467
483690,94.463
484098,94.458
484506,94.453
484914,94.449
485526,94.441
485934,94.437
486342,94.432
486750,94.427
487158,94.422
487566,94.417
487974,94.413
488382,94.408
488790,94.403
489198,94.398
489606,94.393
490014,94.388
490422,94.383
490830,94.378
491238,94.373
491646,94.367
492054,94.362
492462,94.357
492870,94.352
493278,94.344
493686,94.339
494094,94.334
494502,94.328
494910,94.323
495318,94.318
495726,94.312
496134,94.307
496542,94.301
496950,94.296
497358,94.291
497766,94.285
498174,94.280
498582,94.274
498990,94.268
499398,94.263
499806,94.257
500826,94.243
501234,94.237
501642,94.232
502050,94.226
502458,94.220
502866,94.215
503274,94.209
503682,94.200
504090,94.194
504498,94.188
504906,94.182
505314,94.177
505722,94.171
506130,94.165
506538,94.159
506946,94.153
507354,94.147
507762,94.141
508170,94.135
508578,94.129
508986,94.122
509394,94.116
509802,94.110
510210,94.104
510618,94.098
511026,94.092
511434,94.085
511842,94.079
512250,94.073
512658,94.067
513066,94.060
513474,94.054
513882,94.045
514494,94.035
514902,94.029
515310,94.022
515718,94.016
516126,94.009
516534,94.003
516942,93.996
517350,93.990
517758,93.983
518166,93.977
518370,93.974
518778,93.967
519798,93.951
520614,93.937
521022,93.931
521430,93.924
521838,93.917
522246,93.911
522654,93.904
523062,93.897
523470,93.890
523878,93.880
524286,93.874
524694,93.867
525102,93.860
525510,93.853
526122,93.843
526530,93.836
526938,93.829
527346,93.822
527754,93.815
528162,93.808
528570,93.801
528978,93.794
529386,93.787
529794,93.780
530202,93.773
530610,93.766
531018,93.759
531426,93.752
531834,93.745
532242,93.738
532650,93.731
533058,93.724
533466,93.717
533874,93.710
534282,93.699
534690,93.692
535098,93.684
535506,93.677
535914,93.670
536322,93.663
536730,93.656
537750,93.637
538158,93.630
538566,93.623
538974,93.616
539382,93.608
539790,93.601
540198,93.594
540606,93.586
541014,93.579
541422,93.572
541830,93.564
542238,93.557
542646,93.549
543054,93.542
543462,93.535
544074,93.524
544482,93.512
544890,93.505
545298,93.497
545706,93.490
546114,93.483
546522,93.475
547338,93.460
547746,93.453
547950,93.449
548562,93.437
548970,93.430
549378,93.422
549786,93.415
550194,93.407
550602,93.400
551010,93.392
551418,93.385
551826,93.377
552234,93.369
552642,93.362
553050,93.354
553458,93.346
554070,93.335
554274,93.331
554682,93.320
555090,93.312
555906,93.297
556314,93.289
556722,93.281
557130,93.274
557538,93.266
557946,93.258
558354,93.251
558762,93.244
559374,93.231
559782,93.224
560190,93.216
560598,93.208
561006,93.201
561414,93.193
561822,93.185
562230,93.177
562638,93.170
563046,93.162
563454,93.154
564270,93.139
564678,93.127
565698,93.108
565902,93.104
566310,93.096
566718,93.088
567126,93.080
567534,93.073
567942,93.065
568350,93.057
569370,93.038
569778,93.030
570186,93.022
570594,93.014
571002,93.006
571410,92.999
571818,92.991
572226,92.983
572634,92.975
573042,92.968
573450,92.960
573858,92.952
574266,92.944
574674,92.936
575082,92.925
575490,92.917
575898,92.909
576306,92.901
576714,92.894
577122,92.886
577530,92.878
577938,92.870
578346,92.862
578754,92.855
579162,92.847
579774,92.835
580182,92.827
580590,92.820
580998,92.812
581406,92.804
581814,92.796
582222,92.789
582630,92.781
583038,92.773
583446,92.765
583854,92.758
584262,92.750
584671,92.742
585078,92.731
585486,92.723
586098,92.711
586506,92.704
586914,92.696
587322,92.688
587730,92.681
588138,92.673
588546,92.665
588954,92.657
589362,92.650
589770,92.642
590178,92.634
590586,92.627
590994,92.619
591402,92.611
591810,92.604
592218,92.596
592626,92.589
593034,92.581
593442,92.573
593850,92.566
594258,92.558
594666,92.551
595686,92.528
596094,92.520
596502,92.513
596910,92.505
597318,92.498
597726,92.490
598134,92.483
598542,92.475
598950,92.468
599358,92.460
599766,92.453
600174,92.445
600582,92.438
600990,92.430
601398,92.423
601806,92.415
602214,92.408
602622,92.400
603030,92.393
603438,92.386
603846,92.378
604458,92.367
605274,92.352
606090,92.334
606498,92.327
606906,92.319
607314,92.312
607722,92.305
608130,92.298
608538,92.290
608946,92.283
609354,92.276
609762,92.269
610170,92.261
610578,92.254
610986,92.247
611598,92.236
612006,92.229
612414,92.222
612822,92.215
613230,92.208
613638,92.201
614046,92.194
614454,92.186
614862,92.179
615270,92.172
615678,92.162
616086,92.155
616494,92.148
616902,92.141
617310,92.134
617718,92.127
618126,92.120
618534,92.113
618942,92.106
619350,92.099
619758,92.092
620166,92.085
620574,92.079
620982,92.072
621390,92.065
621798,92.058
622818,92.041
623226,92.034
623634,92.028
624042,92.021
624450,92.014
624858,92.008
625266,92.001
625674,91.994
626082,91.984
626490,91.978
626898,91.971
627306,91.965
627714,91.958
628122,91.952
628530,91.945
628938,91.939
629346,91.932
629754,91.926
630162,91.919
630570,91.913
630978,91.906
