# summary.csv aggregates benchmark timing samples extracted from the log.
# label names the benchmarked operation. All rows are treated as single measurements because logs do not contain offline window batches.
section,label,count,sum_cycles,min_cycles,median_cycles,avg_cycles,max_cycles,sum_ns,min_ns,median_ns,avg_ns,max_ns
single,dive.deco_schedule,66,33296867,101484,482110,504497,964034,2909639489131,63427503,30122937633,44085446805,551442508095
single,dive.deco_schedule.rate,2438,4618781,1787,1915,1894,1927,415012986906429631,112187,11968725,170226819895992,119687526752825819
single,dive.display_refresh,374,196400848,2114,21204,525135,3040295,32360049064107,1321625,133200045,86524195358,1198876876241
single,dive.o2_tox,37,9842,266,266,266,266,16626331563029,16625,1662546,449360312514,16625789296482
single,dive.o2_tox.rate,3660,6919004,1114,1932,1890,1945,1336105212017157455,113250,1170630,365056068857146,1207505028692825661
single,dive.rate_and_logging,2465,30608284,11781,12008,12417,14785,3078444858277318546,736312,869437,1248862011471528,750500950701584989
single,flash.init.reset_pos,2,26232,13116,13116,13116,13116,82794771,819750,41397385,41397385,81975021
single,flash.log.rate,775,1340193,1722,1726,1729,1852,213785796713,107875,10787566,275852640,107875800011
single,flash.serial.write,3,38052,12684,12684,12684,12684,80860521,792750,792750,26953507,79275021
single,task.mode.tick.loop,137,98007768,43902,470902,715385,3652520,33846562573359040503175922578228217017515972248955653379852205136340125056524372529476,27491187,228282500613,247055201265394456227561478673198664361430454371939075765344563038979015011126806784,33846562539482477596245362536253628211612515362536282373441153625362826315745653625362
