time_ms,depth_m,gas_idx,pa
22937,6.715,0,163133.3
43133,13.496,0,231342.0
63333,20.278,0,299550.7
83354,26.993,0,367084.0
103550,33.774,0,435292.7
123566,40.489,0,502826.0
143762,47.271,0,571034.6
163962,54.052,0,639243.4
183978,60.767,0,706776.7
204174,67.549,0,774985.3
224370,74.331,0,843194.0
244386,81.045,0,910727.3
264582,87.827,0,978936.0
284778,90.870,0,1009547.4
304974,91.243,0,1013296.6
325170,91.589,0,1016778.4
345366,91.894,0,1019837.6
365562,92.142,0,1022337.9
385758,92.324,0,1024167.8
405954,92.431,0,1025245.9
426150,92.459,0,1025523.8
446346,92.406,0,1024989.2
466544,92.274,0,1023666.2
486740,92.070,0,1021613.6
506936,91.803,0,1018922.8
527132,91.484,0,1015713.9
547328,91.127,0,1012129.9
567524,90.749,0,1008330.6
587720,90.367,0,1004485.3
607916,89.997,0,1000765.6
628112,89.656,0,997337.0
648308,89.360,0,994352.8
668504,89.120,0,991945.6
688700,88.949,0,990222.9
708896,88.853,0,989261.6
729092,88.838,0,989104.4
749288,88.903,0,989758.4
769484,89.046,0,991194.4
789684,89.260,0,993348.4
809887,89.536,0,996124.2
830083,89.861,0,999398.4
850105,90.218,0,1002987.7
870301,90.598,0,1006803.6
890332,88.486,0,985569.1
910362,86.003,0,960591.0
930558,83.495,0,935363.1
950754,80.986,0,910135.2
970774,78.503,0,885157.2
990970,75.994,0,859929.3
1011166,73.486,0,834701.4
1031183,71.003,0,809723.4
1051210,68.519,0,784745.3
1071241,66.036,0,759767.2
1091294,63.527,0,734539.3
1111490,61.019,0,709311.4
1131686,58.511,0,684083.6
1151882,56.002,0,658855.8
1172078,53.494,0,633627.9
1192274,50.986,0,608400.1
1212291,48.502,0,583422.0
1232487,45.994,0,558194.1
1252683,43.486,0,532966.2
1272704,41.002,0,507988.1
1312994,36.010,0,457782.2
1333024,33.527,0,432804.1
1373416,28.510,0,382348.4
1393447,26.027,0,357370.3
1413643,23.519,0,332142.4
1433839,21.010,0,306914.6
1453856,18.527,0,281936.5
1473894,16.018,0,256708.6
1514111,11.027,0,206502.7
1534307,8.518,0,181274.8
1554503,6.010,0,156046.9
1574700,3.502,0,130819.1
1594896,0.993,0,105591.2
