# summary.csv aggregates benchmark timing samples extracted from the log.
# label names the benchmarked operation. All rows are treated as single measurements because logs do not contain offline window batches.
section,label,count,sum_cycles,min_cycles,median_cycles,avg_cycles,max_cycles,sum_ns,min_ns,median_ns,avg_ns,max_ns
single,dive.deco_schedule,54,26633639,101905,535306,493215,964648,2389280064134,63690624,19701125455,44245927113,602892504132
single,dive.deco_schedule.rate,2686,5091081,1788,1918,1895,1928,201252515196291579,111750,11987529,74926476245827,119875337223072278
single,dive.display_refresh,184,32624104,246,21183,177304,3022192,34752745955189,640375,132393753,188873619321,18888700050159
single,dive.o2_tox,32,8544,267,267,267,267,2002523133432422,16687,1668747,62578847919763,1668771892497192
single,dive.o2_tox.rate,3723,7053212,1806,1936,1894,1948,32008630990953340,112875,11362527,8597537198751,12100070892384822
single,dive.rate_and_logging,2672,33424710,11771,12093,12509,14821,444361012483686407,755312,912750,166302774133116,75581285762161159
single,flash.init.reset_pos,2,25966,12983,12983,12983,12983,162287498,81143720,81143749,81143749,81143778
single,flash.log.rate,818,1414465,1722,1726,1729,1855,208076793995,107875,10787568,254372608,107875600007
single,flash.serial.write,3,37653,12551,12551,12551,12551,235331276,78443720,78443778,78443758,78443778
single,task.mode.tick.loop,133,108734792,437705,471476,817554,3643894,338766258422327594194586486486442979677908648644334755054743757623334275369813,27436062,158504937657,2547114724979906723267567567567240448706080064994998158306344042280708837367,338766258422327594194586486486442979677908648644323778348864864434968722864864
